"","t","x","y"
"5635",91806,0.247006,0.495643
"5636",91822,0.247489,0.495697
"5637",91837,0.248395,0.496161
"5638",91853,0.248984,0.496241
"5639",91868,0.249325,0.496572
"5640",91884,0.24971,0.496857
"5641",91900,0.249992,0.496525
"5642",91915,0.250355,0.495776
"5643",91931,0.250946,0.495092
"5644",91946,0.251,0.49408
"5645",91962,0.249608,0.493254
"5646",91993,0.247219,0.492446
"5647",92009,0.242936,0.490963
"5648",92024,0.23727,0.48957
"5649",92040,0.230883,0.487102
"5650",92056,0.223114,0.484205
"5651",92071,0.216887,0.482894
"5652",92087,0.21091,0.481711
"5653",92102,0.205386,0.482082
"5654",92118,0.200292,0.481442
"5655",92134,0.195425,0.479977
"5656",92149,0.190769,0.478828
"5657",92165,0.186805,0.476224
"5658",92180,0.183502,0.474661
"5659",92196,0.180874,0.473975
"5660",92212,0.17876,0.473652
"5661",92227,0.177478,0.475505
"5662",92243,0.176424,0.478334
"5663",92258,0.175117,0.480561
"5664",92274,0.174862,0.482156
"5665",92290,0.174064,0.483037
"5666",92305,0.17351,0.483609
"5667",92321,0.173124,0.484185
"5668",92336,0.172894,0.484519
"5669",92352,0.17248,0.484206
"5670",92368,0.172189,0.484029
"5671",92383,0.171941,0.483577
"5672",92399,0.171389,0.483311
"5673",92414,0.17101,0.483401
"5674",92430,0.170936,0.483033
"5675",92461,0.170822,0.483052
"5676",92477,0.171011,0.48249
"5677",92492,0.171202,0.481786
"5678",92508,0.171245,0.481356
"5679",92524,0.170991,0.480414
"5680",92539,0.170745,0.480096
"5681",92555,0.170287,0.479355
"5682",92570,0.169987,0.478424
"5683",92586,0.170156,0.478506
"5684",92602,0.169986,0.478225
"5685",92617,0.169918,0.47817
"5686",92633,0.169583,0.478375
"5687",92648,0.169044,0.478521
"5688",92664,0.168691,0.478801
"5689",92680,0.168355,0.479244
"5690",92695,0.168063,0.479806
"5691",92711,0.167769,0.479545
"5692",92726,0.167422,0.47921
"5693",92742,0.166948,0.478414
"5694",92758,0.166465,0.477352
"5695",92773,0.166276,0.476827
"5696",92789,0.166133,0.476515
"5697",92804,0.165979,0.476354
"5698",92836,0.165766,0.475585
"5699",92851,0.165238,0.474713
"5700",92867,0.164461,0.473364
"5701",92882,0.163952,0.47265
"5702",92898,0.163562,0.472556
"5703",92914,0.163508,0.471937
"5704",92929,0.163639,0.471972
"5705",92945,0.164124,0.47153
"5706",92960,0.164034,0.471397
"5707",92976,0.16383,0.471898
"5708",92992,0.163648,0.471958
"5709",93007,0.16321,0.471924
"5710",93023,0.16301,0.471713
"5711",93038,0.162939,0.471303
"5712",93054,0.162952,0.471055
"5713",93070,0.162983,0.471126
"5714",93085,0.162642,0.471263
"5715",93101,0.162267,0.471932
"5716",93116,0.161671,0.472492
